geoid,name,type,county,counties,population,code_status,publisher,code_url,publisher_client_id,code_product_id,codified_through,code_last_updated,pdf_available,pending_ordinances_count,official_status,source,source_checked_date,notes,statement
12027,DeSoto,county,DeSoto,DeSoto,36744,online-html,municode,https://library.municode.com/fl/desoto_county,5684,14001,2025-11-18,2026-03-27,1,0,unstated,municode-api,2026-09-23,,"DeSoto County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/desoto_county. The code is codified through ordinances adopted 2025-11-18. Checked 2026-09-23."
1202750,Avon Park,city,Highlands,Highlands,10415,online-html,municode,https://library.municode.com/fl/avon_park,1121,13024,2025-04-28,2026-02-02,1,2,unstated,municode-api,2026-09-23,,"The city of Avon Park in Highlands County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/avon_park. The code is codified through ordinances adopted 2025-04-28. 2 adopted ordinance(s) await codification. Checked 2026-09-23."
12029,Dixie,county,Dixie,Dixie,17614,online-html,municode,https://library.municode.com/fl/dixie_county,5698,14987,,2026-03-31,1,0,unstated,municode-api,2026-09-23,,"Dixie County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/dixie_county. Checked 2026-09-23."
12031,Duval,county,Duval,Duval,1055159,online-html,municode,https://library.municode.com/fl/jacksonville/codes/code_of_ordinances,,,,,0,,unstated,manual,2026-09-04,"consolidated government; the Jacksonville Code of Ordinances is the county code, and the beach cities and Baldwin keep their own","Duval County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/jacksonville/codes/code_of_ordinances. Checked 2026-09-04."
1203250,Baldwin,town,Duval,Duval,1385,online-html,municode,https://library.municode.com/fl/baldwin,8053,10385,,2025-12-16,1,0,unstated,municode-api,2026-09-23,,"The town of Baldwin in Duval County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/baldwin. Checked 2026-09-23."
1203275,Bal Harbour,village,Miami-Dade,Miami-Dade,3099,online-html,municode,https://library.municode.com/fl/bal_harbour,10212,10384,2026-03-17,2026-07-30,1,5,unstated,municode-api,2026-09-23,,"The village of Bal Harbour in Miami-Dade County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bal_harbour. The code is codified through ordinances adopted 2026-03-17. 5 adopted ordinance(s) await codification. Checked 2026-09-23."
12033,Escambia,county,Escambia,Escambia,331275,online-html,municode,https://library.municode.com/fl/escambia_county,5813,10700,,2026-08-18,1,0,unstated,municode-api,2026-09-23,,"Escambia County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/escambia_county. Checked 2026-09-23."
12035,Flagler,county,Flagler,Flagler,136744,online-html,municode,https://library.municode.com/fl/flagler_county,5872,12218,2025-04-21,2025-07-11,1,3,unstated,municode-api,2026-09-23,,"Flagler County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/flagler_county. The code is codified through ordinances adopted 2025-04-21. 3 adopted ordinance(s) await codification. Checked 2026-09-23."
1203675,Bartow,city,Polk,Polk,22084,online-html,municode,https://library.municode.com/fl/bartow,1167,12765,,2026-07-01,1,3,unstated,municode-api,2026-09-23,,"The city of Bartow in Polk County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bartow. 3 adopted ordinance(s) await codification. Checked 2026-09-23."
12037,Franklin,county,Franklin,Franklin,12979,online-html,municode,https://library.municode.com/fl/franklin_county,11395,10798,,2026-03-20,1,0,unstated,municode-api,2026-09-23,,"Franklin County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/franklin_county. Checked 2026-09-23."
1203725,Bascom,town,Jackson,Jackson,93,unknown,none,,,,,,0,,unstated,manual,2026-09-23,"no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline; The town has no website according to the county elections office, and no code or ordinances were found online.","The town of Bascom in Jackson County, Florida, is carried by no commercial code publisher, and this survey could not confirm what it publishes instead. Checked 2026-09-23."
12039,Gadsden,county,Gadsden,Gadsden,44151,online-html,municode,https://library.municode.com/fl/gadsden_county,5945,13425,,2024-06-25,1,2,unstated,municode-api,2026-09-23,,"Gadsden County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/gadsden_county. 2 adopted ordinance(s) await codification. Checked 2026-09-23."
1203975,Bay Harbor Islands,town,Miami-Dade,Miami-Dade,5937,online-html,municode,https://library.municode.com/fl/bay_harbor_islands,8073,14065,,2026-08-17,1,12,unstated,municode-api,2026-09-23,,"The town of Bay Harbor Islands in Miami-Dade County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bay_harbor_islands. 12 adopted ordinance(s) await codification. Checked 2026-09-23."
12041,Gilchrist,county,Gilchrist,Gilchrist,20233,online-html,municode,https://library.municode.com/fl/gilchrist_county,5997,13319,,2026-08-11,1,0,unstated,municode-api,2026-09-23,,"Gilchrist County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/gilchrist_county. Checked 2026-09-23."
1204150,Bay Lake,city,Orange,Orange,23,ordinances-only,self-hosted,https://cityofbaylakefl.gov/wp-content/uploads/2025/06/Bay-Lake-Public-Assemblies-Code1.pdf,,,,,0,,unstated,manual,2026-09-23,Bay Lake posts one public-assembly ordinance as a scanned PDF and has no codified code online.,"The city of Bay Lake in Orange County, Florida, publishes individual ordinances online at https://cityofbaylakefl.gov/wp-content/uploads/2025/06/Bay-Lake-Public-Assemblies-Code1.pdf but no codified code of ordinances. Checked 2026-09-23."
12043,Glades,county,Glades,Glades,13132,online-html,municode,https://library.municode.com/fl/glades_county,6007,14193,2025-08-12,2026-03-04,1,0,unstated,municode-api,2026-09-23,,"Glades County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/glades_county. The code is codified through ordinances adopted 2025-08-12. Checked 2026-09-23."
12045,Gulf,county,Gulf,Gulf,15876,online-html,municode,https://library.municode.com/fl/gulf_county,6112,15583,,2025-05-08,1,11,unstated,municode-api,2026-09-23,,"Gulf County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/gulf_county. 11 adopted ordinance(s) await codification. Checked 2026-09-23."
12047,Hamilton,county,Hamilton,Hamilton,14334,online-pdf-only,self-hosted,https://zoning.hamiltoncountyfl.com/uploads/hamilton-co-ldr-for-print-aug2019.pdf,,,2019-08-20,,0,,unstated,manual,2026-09-23,Hamilton County posts its land development regulations as a PDF amended through August 2019. No general code of ordinances was found online.,"Hamilton County, Florida, publishes its code of ordinances as a PDF through its own website at https://zoning.hamiltoncountyfl.com/uploads/hamilton-co-ldr-for-print-aug2019.pdf. The code is codified through ordinances adopted 2019-08-20. Checked 2026-09-23."
12049,Hardee,county,Hardee,Hardee,26068,online-html,municode,https://library.municode.com/fl/hardee_county,6154,17561,,,0,0,unstated,municode-api,2026-09-23,,"Hardee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/hardee_county. Checked 2026-09-23."
1204975,Bell,town,Gilchrist,Gilchrist,582,online-pdf-only,planning-council,https://ncfrpc.org/MapsAndPlans/CitiesAndTowns/Bell/LDC_BELL18_Canary.pdf,,,2011-08-04,,0,,unstated,manual,2026-09-23,Bell's land development code is published as a PDF by the regional planning council. The town has no website of its own.,"The town of Bell in Gilchrist County, Florida, publishes its code of ordinances as a PDF through its regional planning council at https://ncfrpc.org/MapsAndPlans/CitiesAndTowns/Bell/LDC_BELL18_Canary.pdf. The code is codified through ordinances adopted 2011-08-04. Checked 2026-09-23."
1205075,Belleair,town,Pinellas,Pinellas,4614,online-html,municode,https://library.municode.com/fl/belleair,8090,10406,2026-01-20,2026-07-14,1,0,unstated,municode-api,2026-09-23,,"The town of Belleair in Pinellas County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belleair. The code is codified through ordinances adopted 2026-01-20. Checked 2026-09-23."
12051,Hendry,county,Hendry,Hendry,46130,online-html,municode,https://library.municode.com/fl/hendry_county,6218,10908,,2026-09-02,1,0,unstated,municode-api,2026-09-23,,"Hendry County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/hendry_county. Checked 2026-09-23."
1205100,Belleair Beach,city,Pinellas,Pinellas,1615,online-html,municode,https://library.municode.com/fl/belleair_beach,1226,13451,,2026-07-01,1,5,unstated,municode-api,2026-09-23,,"The city of Belleair Beach in Pinellas County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belleair_beach. 5 adopted ordinance(s) await codification. Checked 2026-09-23."
1205125,Belleair Bluffs,city,Pinellas,Pinellas,2284,online-html,municode,https://library.municode.com/fl/belleair_bluffs,1227,14128,,2025-12-12,1,2,unstated,municode-api,2026-09-23,,"The city of Belleair Bluffs in Pinellas County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belleair_bluffs. 2 adopted ordinance(s) await codification. Checked 2026-09-23."
1205150,Belleair Shore,town,Pinellas,Pinellas,76,online-html,municode,https://library.municode.com/fl/belleair_shore,12715,13429,,2025-10-16,1,0,unstated,municode-api,2026-09-23,,"The town of Belleair Shore in Pinellas County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belleair_shore. Checked 2026-09-23."
1205200,Belle Glade,city,Palm Beach,Palm Beach,17363,online-html,municode,https://library.municode.com/fl/belle_glade,1222,12156,,2026-08-05,1,0,unstated,municode-api,2026-09-23,,"The city of Belle Glade in Palm Beach County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belle_glade. Checked 2026-09-23."
12053,Hernando,county,Hernando,Hernando,218150,online-html,municode,https://library.municode.com/fl/hernando_county,6224,10731,,2026-08-09,1,0,unstated,municode-api,2026-09-23,,"Hernando County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/hernando_county. Checked 2026-09-23."
1205300,Belle Isle,city,Orange,Orange,7741,online-html,municode,https://library.municode.com/fl/belle_isle,1223,19961,,2025-07-21,1,0,unstated,municode-api,2026-09-23,,"The city of Belle Isle in Orange County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belle_isle. Checked 2026-09-23."
1205375,Belleview,city,Marion,Marion,6156,online-html,municode,https://library.municode.com/fl/belleview,1230,10408,2026-02-17,2026-05-22,1,15,unstated,municode-api,2026-09-23,,"The city of Belleview in Marion County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/belleview. The code is codified through ordinances adopted 2026-02-17. 15 adopted ordinance(s) await codification. Checked 2026-09-23."
12055,Highlands,county,Highlands,Highlands,109778,online-html,municode,https://library.municode.com/fl/highlands_county,6241,10921,,2026-07-01,1,0,unstated,municode-api,2026-09-23,,"Highlands County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/highlands_county. Checked 2026-09-23."
12057,Hillsborough,county,Hillsborough,Hillsborough,1581426,online-html,municode,https://library.municode.com/fl/hillsborough_county,6247,12399,2026-01-15,2026-08-17,1,0,unstated,municode-api,2026-09-23,,"Hillsborough County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/hillsborough_county. The code is codified through ordinances adopted 2026-01-15. Checked 2026-09-23."
12059,Holmes,county,Holmes,Holmes,19876,ordinances-only,self-hosted,https://holmesclerk.com/other-services/ordinances/,,,,,0,,unstated,browser,2026-09-04,clerk publishes individual ordinance PDFs described as archived; no codified compilation,"Holmes County, Florida, publishes individual ordinances online at https://holmesclerk.com/other-services/ordinances/ but no codified code of ordinances. Checked 2026-09-04."
12061,Indian River,county,Indian River,Indian River,172139,online-html,municode,https://library.municode.com/fl/indian_river_county,6329,12232,,2026-06-26,1,0,unstated,municode-api,2026-09-23,,"Indian River County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/indian_river_county. Checked 2026-09-23."
1206100,Beverly Beach,town,Flagler,Flagler,520,online-html,municode,https://library.municode.com/fl/beverly_beach,12718,13706,,2025-12-16,1,0,unstated,municode-api,2026-09-23,,"The town of Beverly Beach in Flagler County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/beverly_beach. Checked 2026-09-23."
12063,Jackson,county,Jackson,Jackson,49980,online-html,municode,https://library.municode.com/fl/jackson_county,11547,12811,,2026-02-03,1,0,unstated,municode-api,2026-09-23,,"Jackson County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/jackson_county. Checked 2026-09-23."
12065,Jefferson,county,Jefferson,Jefferson,15921,online-html,municode,https://library.municode.com/fl/jefferson_county,11624,14408,,2026-07-16,1,1,unstated,municode-api,2026-09-23,,"Jefferson County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/jefferson_county. 1 adopted ordinance(s) await codification. Checked 2026-09-23."
1206600,Biscayne Park,village,Miami-Dade,Miami-Dade,3123,online-html,municode,https://library.municode.com/fl/biscayne_park,10247,14536,2024-10-01,2025-04-17,1,8,unstated,municode-api,2026-09-23,,"The village of Biscayne Park in Miami-Dade County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/biscayne_park. The code is codified through ordinances adopted 2024-10-01. 8 adopted ordinance(s) await codification. Checked 2026-09-23."
12067,Lafayette,county,Lafayette,Lafayette,8640,online-pdf-only,self-hosted,https://lafayette-clerk.s3.amazonaws.com/uploads/2025/09/17175042/LDR.pdf,,,2023-08-08,,0,,unstated,manual,2026-09-23,"Lafayette County posts its land development code as a PDF amended through August 2023, and links its ordinances to a Municode MuniDocs folder whose contents were not checked.","Lafayette County, Florida, publishes its code of ordinances as a PDF through its own website at https://lafayette-clerk.s3.amazonaws.com/uploads/2025/09/17175042/LDR.pdf. The code is codified through ordinances adopted 2023-08-08. Checked 2026-09-23."
12069,Lake,county,Lake,Lake,444204,online-html,municode,https://library.municode.com/fl/lake_county,11506,11115,,2026-05-07,0,12,unstated,municode-api,2026-09-23,,"Lake County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/lake_county. 12 adopted ordinance(s) await codification. Checked 2026-09-23."
1206925,Blountstown,city,Calhoun,Calhoun,2269,online-html,municode,https://library.municode.com/fl/blountstown,1317,13727,2025-12-09,2026-04-14,1,0,unstated,municode-api,2026-09-23,,"The city of Blountstown in Calhoun County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/blountstown. The code is codified through ordinances adopted 2025-12-09. Checked 2026-09-23."
12071,Lee,county,Lee,Lee,860959,online-html,municode,https://library.municode.com/fl/lee_county,11749,10131,,2026-06-17,1,0,unstated,municode-api,2026-09-23,,"Lee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/lee_county. Checked 2026-09-23."
12073,Leon,county,Leon,Leon,300488,online-html,municode,https://library.municode.com/fl/leon_county,11247,10008,,2026-06-01,1,7,unstated,municode-api,2026-09-23,,"Leon County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/leon_county. 7 adopted ordinance(s) await codification. Checked 2026-09-23."
1207300,Boca Raton,city,Palm Beach,Palm Beach,102238,online-html,municode,https://library.municode.com/fl/boca_raton,1331,10145,,2026-05-11,1,5,unstated,municode-api,2026-09-23,,"The city of Boca Raton in Palm Beach County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/boca_raton. 5 adopted ordinance(s) await codification. Checked 2026-09-23."
1207450,Bonifay,city,Holmes,Holmes,2838,ordinances-only,self-hosted,https://www.cityofbonifay.com/ordinances,,,,,0,,unstated,browser,2026-09-04,individual ordinances organised by topic,"The city of Bonifay in Holmes County, Florida, publishes individual ordinances online at https://www.cityofbonifay.com/ordinances but no codified code of ordinances. Checked 2026-09-04."
12075,Levy,county,Levy,Levy,47765,online-html,municode,https://library.municode.com/fl/levy_county,6597,13435,,2025-11-26,1,8,unstated,municode-api,2026-09-23,,"Levy County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/levy_county. 8 adopted ordinance(s) await codification. Checked 2026-09-23."
1207525,Bonita Springs,city,Lee,Lee,57112,online-html,municode,https://library.municode.com/fl/bonita_springs,12773,15163,,2026-07-23,1,0,unstated,municode-api,2026-09-23,,"The city of Bonita Springs in Lee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bonita_springs. Checked 2026-09-23."
12077,Liberty,county,Liberty,Liberty,7955,online-html,municode,https://library.municode.com/fl/liberty_county,20538,15997,2023-08-10,2024-08-21,1,0,unstated,municode-api,2026-09-23,,"Liberty County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/liberty_county. The code is codified through ordinances adopted 2023-08-10. Checked 2026-09-23."
1207775,Bowling Green,city,Hardee,Hardee,2456,online-html,municode,https://library.municode.com/fl/bowling_green,1364,15461,,2022-07-06,1,0,unstated,municode-api,2026-09-23,,"The city of Bowling Green in Hardee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bowling_green. Checked 2026-09-23."
1207875,Boynton Beach,city,Palm Beach,Palm Beach,83095,online-html,municode,https://library.municode.com/fl/boynton_beach,1369,12672,,2026-06-10,1,10,unstated,municode-api,2026-09-23,,"The city of Boynton Beach in Palm Beach County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/boynton_beach. 10 adopted ordinance(s) await codification. Checked 2026-09-23."
12079,Madison,county,Madison,Madison,18364,ordinances-only,self-hosted,https://library.municode.com/fl/madison_county/munidocs/munidocs,,,,,0,,unstated,browser,2026-09-04,Municode hosts county documents under MuniDocs; the client record carries no published code product,"Madison County, Florida, publishes individual ordinances online at https://library.municode.com/fl/madison_county/munidocs/munidocs but no codified code of ordinances. Checked 2026-09-04."
1207950,Bradenton,city,Manatee,Manatee,58184,online-html,municode,https://library.municode.com/fl/bradenton,1372,10466,2026-03-25,2026-05-22,1,0,unstated,municode-api,2026-09-23,,"The city of Bradenton in Manatee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bradenton. The code is codified through ordinances adopted 2026-03-25. Checked 2026-09-23."
1207975,Bradenton Beach,city,Manatee,Manatee,927,online-html,municode,https://library.municode.com/fl/bradenton_beach,1373,12892,2025-07-10,2026-02-06,1,0,unstated,municode-api,2026-09-23,,"The city of Bradenton Beach in Manatee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bradenton_beach. The code is codified through ordinances adopted 2025-07-10. Checked 2026-09-23."
12081,Manatee,county,Manatee,Manatee,458352,online-html,municode,https://library.municode.com/fl/manatee_county,6717,10428,2025-11-18,2026-03-16,1,10,unstated,municode-api,2026-09-23,,"Manatee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/manatee_county. The code is codified through ordinances adopted 2025-11-18. 10 adopted ordinance(s) await codification. Checked 2026-09-23."
